page,block_type,character,text,explicit_tone,scene,embedding_index
23,DIALOGUE,FARHAN,gSYyks gk¡A,,INT. AIRPLANE DAY,0
23,DIALOGUE,FARHAN,"up, looking disturbed. He tries to catch the",,INT. AIRPLANE DAY,1
23,DIALOGUE,FARHAN,attention of the Air hostess.,,INT. AIRPLANE DAY,2
23,DIALOGUE,FARHAN,discomfort as the plane takes off.,,INT. AIRPLANE DAY,3
24,DIALOGUE,AIR HOSTESS,"and falls in the aisle, unconscious.",,INT. AIRPLANE DAY,4
24,DIALOGUE,AIR HOSTESS,aisle.,into the phone,INT. AIRPLANE DAY,5
24,DIALOGUE,CAPTAIN,medical emergency.,,INT. COCKPIT CONTINUOUS,6
24,DIALOGUE,AIR HOSTESS,me Sir.,,INT. AIRPLANE CONTINUOUS,7
24,DIALOGUE,LATER,are taking an unconscious Farhan on a,,INT. TERMINAL MOMENTS,8
25,DIALOGUE,LATER,wheelchair through the terminal. As they,,INT. TERMINAL MOMENTS,9
25,DIALOGUE,LATER,"approach the exit, Farhan opens his eyes,",,INT. TERMINAL MOMENTS,10
25,DIALOGUE,LATER,"looks around furtively, and jumps out of",,INT. TERMINAL MOMENTS,11
25,DIALOGUE,LATER,the wheelchair.,,INT. TERMINAL MOMENTS,12
25,DIALOGUE,FARHAN,",d feuV!",,INT. TERMINAL MOMENTS,13
25,DIALOGUE,FARHAN,and concerned.,,INT. TERMINAL MOMENTS,14
25,DIALOGUE,FARHAN,"ughaa eSa fcYdqy Bhd gw¡A FkSaD;wA vki yksx tk,]",,INT. TERMINAL MOMENTS,15
25,DIALOGUE,FARHAN,"vki yksx tk,A eSa pyk tkÅaxkA",,INT. TERMINAL MOMENTS,16
25,DIALOGUE,FARHAN,after him.,,INT. TERMINAL MOMENTS,17
25,DIALOGUE,MEDICAL STAFF,"terminal, slowing down only once he nears",,INT. TERMINAL MOMENTS,18
25,DIALOGUE,MEDICAL STAFF,the exit.,,INT. TERMINAL MOMENTS,19
25,DIALOGUE,FARHAN,xkM+h fudkyks ;kjA,,EXT. AIRPORT CONTINUOUS,20
26,DIALOGUE,DRIVER,rqLlh fe- f<Yyksa\,,EXT. AIRPORT CONTINUOUS,21
26,DIALOGUE,FARHAN,fudkyks ;kj xkM+hA,,EXT. AIRPORT CONTINUOUS,22
26,DIALOGUE,FARHAN,fast man!,,EXT. AIRPORT CONTINUOUS,23
26,DIALOGUE,MOMENTS LATER,a number.,,INT. CAB EXT. DELHI ROADS,24
26,DIALOGUE,DRIVER,gksVy tk;saxs uk lj\,,INT. CAB EXT. DELHI ROADS,25
26,DIALOGUE,FARHAN,gk¡ gk¡ gksVy tk;saxs] ysfdu olar fogkj gksds A,,INT. CAB EXT. DELHI ROADS,26
26,DIALOGUE,FARHAN,ogk¡ ys yksA,,INT. CAB EXT. DELHI ROADS,27
26,DIALOGUE,FARHAN,"vjs ,s Dls yjs s Vj is Fkks M+ k yks M ns dkds\",impatiently,INT. CAB EXT. DELHI ROADS,28
26,DIALOGUE,CAB DAY,"bedside table, illuminates with Farhan’s",,INT. RAJU’S NEW HOUSE,29
26,DIALOGUE,CAB DAY,call. Raju (30s) peeps out from under,,INT. RAJU’S NEW HOUSE,30
26,DIALOGUE,CAB DAY,"the bedsheet, grabs the phone, looks at",,INT. RAJU’S NEW HOUSE,31
26,DIALOGUE,CAB DAY,it and answers it.,,INT. RAJU’S NEW HOUSE,32
26,DIALOGUE,CAB DAY,jktw,,INT. RAJU’S NEW HOUSE,33
